Stanford Research Systems,SG384,s/n001513,ver1.10.0E
Date, Time, phase,
2023-07-28, 12:40:03, 0.0, 
2023-07-28, 12:40:04, 0.0, 
2023-07-28, 12:40:05, 0.0, 
2023-07-28, 12:40:06, 0.0, 
2023-07-28, 12:40:07, 0.0, 
2023-07-28, 12:40:08, 0.0, 
2023-07-28, 12:40:10, 0.0, 
2023-07-28, 12:40:11, 0.0, 
2023-07-28, 12:40:12, 0.0, 
2023-07-28, 12:40:13, 0.0, 
2023-07-28, 12:40:14, 0.0, 
2023-07-28, 12:40:15, 0.0, 
2023-07-28, 12:40:16, 0.0, 
2023-07-28, 12:40:17, 0.0, 
2023-07-28, 12:40:18, 0.0, 
2023-07-28, 12:40:19, 0.0, 
2023-07-28, 12:40:20, 0.0, 
2023-07-28, 12:40:21, 0.0, 
2023-07-28, 12:40:23, 0.0, 
2023-07-28, 12:40:24, 0.0, 
2023-07-28, 12:40:25, 0.0, 
2023-07-28, 12:40:26, 0.0, 
2023-07-28, 12:40:27, 0.0, 
2023-07-28, 12:40:28, 0.0, 
2023-07-28, 12:40:29, 0.0, 
